Unique_ID,Reference,yyyy,mm,Location,waters,Zone,Technology,Technology.mentioned,Effort,method,precision..high..med..low.,latitude,longitude,Fish,Details,lgest.spper,units,weight_conversion,largest.jewfish,largest.dhufish.kg,number,n.jewfish,n.spper,Species,me.s,X.Suggested..N.fishers,X.Suggested..N.boats.party,X.Suggested..Time.hrs,X.Suggested..Time.days,Effort.N,Effort.desc,Effort.time,Effort.time.desc,X,X.1,ALYSES,origil_details,details_check,terms,baldchin_groper,blue_groper,dhufish,groper_nondescript,pink_spper,queen_spper,grey_banded_cod,breaksea,whaler_shark,wobbegong,flathead,garfish,grey_nurse,gummy_shark_complex,hammerhead,hapuka,harlequin,herring,john_dory,king_george_whiting,silver_trevally,whiting,great_white,port_jackson,all_sharks,fish_number,max_number,dhu_specific_weight,pink_specific_weight,kg_mentioned,lb_mentioned,both_units
557,ST 20101968 p.100,1968,10,Scarborough (off the Scarborough reef),coastal,3,,,2 fishers,boat,,,,"jewfish, shark","three jewfish, 17 lb largest; 8 ft shark",,lb,0.453592,17,7.711064,4,3,0,,"Kevin Smith, John Charlton",2,1,,,,,,,,,,"three jewfish, 17 lb largest; 8 ft shark","three , 17 lb largest; 8 ft ","jewfish, shark three jewfish, 17 lb largest; 8 ft shark",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"jewfish, shark_4",17,17,,FALSE,TRUE,FALSE_TRUE
558,ST 03111968 p.100,1968,11,Trigg (Josie's Pool),coastal,3,,,1 fisher,shore,,,,spper,15 lb,15,lb,0.453592,,0,1,0,1,,,1,,,,,,,,,,,15 lb,15 lb,spper 15 lb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spper_1,15,,,FALSE,TRUE,FALSE_TRUE
542,ST 12051968 p.54,1968,5,Trigg (out from Trigg),coastal,3,,,1 fisher,boat,,,,jewfish,two jewfish,,,,,0,2,2,0,,Ron Pearce,,,,,,,,,,,,two jewfish,two ,jewfish two jewfish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_2,#ME?,,,FALSE,FALSE,FALSE_FALSE
569,ST05011969 p.82,1969,1,Burns Beach (off Burns),coastal,2,,,1 fisher,boat,,,,jewfish,25 lb,,lb,0.453592,25,11.3398,1,1,0,,"Angus Emerson, Snow Bentley",2,1,,,,,,,,,,25 lb,25 lb,jewfish 25 lb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_1,25,,,FALSE,TRUE,FALSE_TRUE
570,ST05011969 p.82,1969,1,Burns Beach (off Burns),coastal,2,,,1 fisher,boat,,,,blue groper,25 lb,,lb,0.453592,,0,1,0,0,,Jack Mcreery,1,1,,,,,,,,,,25 lb,25 lb,A_gouldii 25 lb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blue groper_1,25,,,FALSE,TRUE,FALSE_TRUE
581,ST16021969 p.86,1969,2,Direction Bank,offshore,1,Five small boats launced from Yanchep,,5 small boats launched from Yanchep,boat,,,,jewfish,thirty jewfish all big ones,,,,,0,30,30,0,,,,5,,,,,,,,,,thirty jewfish [all big ones],thirty  [all big ones],jewfish thirty jewfish [all big ones],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_30,#ME?,,,FALSE,FALSE,FALSE_FALSE
611,ST 31081969 p.119,1969,8,Direction Bank (20 miles north-west of Rottnest),offshore,1,Marmion fishers; The third week in a row they had made good hauls at Direction Bank,,"2 fishers, 1 boat",boat,,,,jewfish,"seventeen jewfish, 20 lb average; two sharks",,lb,0.453592,,0,19,17,0,,"Sandy Groth, Ted Stubber",2,1,3,,,,,,,,,"seventeen jewfish, 20 lb average; two [some] sharks","seventeen , 20 lb average; two [some] ","jewfish seventeen jewfish, 20 lb average; two [some] sharks",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jewfish_19,20,20,,FALSE,TRUE,FALSE_TRUE
616,ST 05101969 p.127,1969,10,Direction Bank (near Direction Bank),offshore,1,,,"6 fishers, 3 boats",boat,,,,"jewfish, hammerhead, breaksea cod, seargant baker","five jewfish, 30 lb largest; one hammerhead 6 ft; one breaksea cod; one sergeant baker",,lb,0.453592,30,13.60776,8,5,0,,"Peter Jones, Laurie Baker, Steve Malle, Rob Miller, Neville Shaw, Bob Clayton",6,1,,,,,,,,,,"five jewfish, 30 lb largest; one hammerhead 6 ft; one breaksea cod; one sergeant baker","five , 30 lb largest; one  6 ft; one ; one ","jewfish, hammerhead, breaksea cod, seargant baker five jewfish, 30 lb largest; one hammerhead 6 ft; one breaksea cod; one sergeant baker",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"jewfish, hammerhead, breaksea cod, seargant baker_8",30,30,,FALSE,TRUE,FALSE_TRUE
613,ST 28091969 p.139,1969,9,Direction Bank (out from Yanchep),offshore,1,,,"3 fishers, 1 boat, 4 trips",boat,,,,"jewfish, spper","eight jewfish, 42 lb largest; eighteen spper",,lb,0.453592,42,19.050864,26,8,18,,"Bill Linnett, Jim Moloney, Jack Moloney",3,1,,,,,,,,,,"eight jewfish, 42 lb largest; eighteen spper","eight , 42 lb largest; eighteen ","jewfish, spper eight jewfish, 42 lb largest; eighteen spper",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper_26",42,42,,FALSE,TRUE,FALSE_TRUE
612,ST 28091969 p.139,1969,9,Direction Bank (out from Yanchep),offshore,1,,,"3 fishers, 1 boat, 4 trips",boat,,,,"jewfish, spper, shark","four jewfish; sixteen spper, 4 lb largest; six shark",4,lb,0.453592,,0,26,4,16,,"Bill Linnett, Jim Moloney, Jack Moloney",3,1,,,,,,,,,,"four jewfish; sixteen spper, 4 lb largest; six shark","four ; sixteen , 4 lb largest; six ","jewfish, spper, shark four jewfish; sixteen spper, 4 lb largest; six shark",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"jewfish, spper, shark_26",4,,,FALSE,TRUE,FALSE_TRUE
