"","ID","yyyy","month","largest.dhufish.kg","Zone","latitude","scientific","echo_sounders","gps","bathy","depth","depth_zone","geometry"
"127",127,1960,"1",11.3398,"offshore_north",-31.8348864198547,"fish.size","pre","pre",-37.8800582885742,37.8800582885742,"inshore_demersal",c(115.534030659179, -31.8348864198547)
"128",128,1960,"1",11.793392,"offshore_north",-31.8348864198547,"fish.size","pre","pre",-37.8800582885742,37.8800582885742,"inshore_demersal",c(115.534030659179, -31.8348864198547)
"129",129,1960,"1",6.80388,"nearshore_north",-31.8315921743211,"fish.size","pre","pre",-17.6626930236816,17.6626930236816,"nearshore",c(115.680748247684, -31.8315921743211)
"130",130,1960,"2",10.886208,"nearshore_north",-31.8315921743211,"fish.size","pre","pre",-17.6626930236816,17.6626930236816,"nearshore",c(115.680748247684, -31.8315921743211)
"131",131,1960,"2",4.53592,"nearshore_north",-31.8256812286861,"fish.size","pre","pre",-6.43668174743652,6.43668174743652,"nearshore",c(115.706046542592, -31.8256812286861)
"132",132,1960,"2",12.700576,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-5.78987904451787,5.78987904451787,"nearshore",c(115.482858203312, -32.0125310038696)
"133",133,1960,"3",4.989512,"nearshore_north",-31.8404605637328,"fish.size","pre","pre",-25.4249324798584,25.4249324798584,"inshore_demersal",c(115.661153493827, -31.8404605637328)
"134",134,1960,"3",6.80388,"nearshore_north",-31.8404605637328,"fish.size","pre","pre",-25.4249324798584,25.4249324798584,"inshore_demersal",c(115.661153493827, -31.8404605637328)
"135",135,1960,"3",9.07184,"nearshore_north",-31.8404605637328,"fish.size","pre","pre",-25.4249324798584,25.4249324798584,"inshore_demersal",c(115.661153493827, -31.8404605637328)
"136",136,1960,"3",10.432616,"nearshore_north",-31.8404605637328,"fish.size","pre","pre",-25.4249324798584,25.4249324798584,"inshore_demersal",c(115.661153493827, -31.8404605637328)
"137",137,1960,"3",12.246984,"near_rottnest",-32.0125310038696,"fish.size","pre","pre",-4.52167164720595,4.52167164720595,"nearshore",c(115.482858203312, -32.0125310038696)
"138",138,1960,"3",15.87572,"offshore_north",-31.6076746549093,"fish.size","pre","pre",-30.0120277404785,30.0120277404785,"inshore_demersal",c(115.506762979216, -31.6076746549093)
"139",139,1960,"4",18.14368,"near_rottnest",-31.9459094866635,"fish.size","pre","pre",-33.4603424072266,33.4603424072266,"inshore_demersal",c(115.527789577497, -31.9459094866635)
"140",140,1960,"4",16.782904,"offshore_north",-32.0215658108117,"fish.size","pre","pre",-86.9397583007812,86.9397583007812,"inshore_demersal",c(115.370555772924, -32.0215658108117)
"141",141,1960,"4",8.164656,"nearshore_north",-31.8242563082652,"fish.size","pre","pre",-13.8498382568359,13.8498382568359,"nearshore",c(115.696520497682, -31.8242563082652)
